SampleID;Genotype;Group;treatment;SliceID;mfPerimeter;mfArea;complexity;mean complexity;BoutonID;Animal
20201001_1;WT;WT_ctrl;ctrl;20201001_1_004_s2;14.343;6.778;2.11611094718206;2.29499254271541;20201001_1_004;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_004_s4;11.244;5.404;2.08068097705403;;20201001_1_004;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_004_s5;15.613;6.251;2.49768037114062;;20201001_1_004;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_004_s6;13.454;5.413;2.48549787548494;;20201001_1_004;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_006_s2;13.743;5.544;2.4788961038961;;20201001_1_006;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_006_s3;15.853;6.018;2.63426387504154;2.42377417648588;20201001_1_006;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_006_s4;14.262;6.252;2.28119001919386;;20201001_1_006;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_006_s5;17.26;7.314;2.35985780694558;;20201001_1_006;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_006_s6;17.783;7.349;2.41978500476255;;20201001_1_006;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_009_s1;15.754;3.736;4.21680942184154;3.35992832682909;20201001_1_009;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_009_s2;15.975;4.335;3.68512110726644;;20201001_1_009;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_009_s3;14.93;4.453;3.35279586795419;;20201001_1_009;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_009_s4;10.917;4.036;2.70490584737364;;20201001_1_009;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_009_s5;11.381;4.043;2.81498886965125;;20201001_1_009;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_009_s7;19.521;5.767;3.38494884688746;;20201001_1_009;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_010_s1;7.294;2.903;2.51257320013779;2.60688458892419;20201001_1_010;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_010_s2;7.398;3.058;2.41922825376063;;20201001_1_010;1
