Animal;Genotype;Treatment;Bouton;Active.zone.area;BoutonID;Condition;SampleID;Gaussian;Gamma
3;WT;Control;2;88898.3;3 Control 2;WT;3_WT_Control;-0.794533933470628;-0.625711994500249
3;WT;Control;2;95807.6;3 Control 2;WT;3_WT_Control;-0.700044817223651;-0.498804826324412
3;WT;Control;2;126838;3 Control 2;WT;3_WT_Control;-0.275684162339626;0.00461033247599265
3;WT;Control;2;178317;3 Control 2;WT;3_WT_Control;0.428324234354415;0.68190798079682
3;WT;Control;3;272721;3 Control 3;WT;3_WT_Control;0.899621890791437;0.913233913525881
3;WT;Control;3;435628;3 Control 3;WT;3_WT_Control;3.12747977226225;2.02942583448492
3;WT;Control;3;97202.3;3 Control 3;WT;3_WT_Control;-1.50070909032363;-0.994550036558221
3;WT;Control;3;113881;3 Control 3;WT;3_WT_Control;-1.2726171529134;-0.740858837684248
3;WT;Control;4;121781;3 Control 4;WT;3_WT_Control;-0.0983205253167397;0.239864004174533
3;WT;Control;4;112783;3 Control 4;WT;3_WT_Control;-0.221373955908884;0.0917037294040896
3;WT;Control;4;66893.4;3 Control 4;WT;3_WT_Control;-0.848943716800332;-0.824616340912115
3;WT;Control;4;77124.1;3 Control 4;WT;3_WT_Control;-0.709032321783767;-0.589697032067004
3;WT;Control;5;234450;3 Control 5;WT;3_WT_Control;0.30112849510742;0.568724049716952
3;WT;Control;5;316209;3 Control 5;WT;3_WT_Control;1.41923534460543;1.22059293908823
3;WT;Control;5;194443;3 Control 5;WT;3_WT_Control;-0.245992931620731;0.194082527988743
1;WT;FSK;1;186097;1 Forskolin 1;WT + FSK;1_WT_FSK;1.57310494281475;2.36603696091764
1;WT;FSK;1;101904;1 Forskolin 1;WT + FSK;1_WT_FSK;0.421711579640228;0.8972734423649
1;WT;FSK;1;78111.8;1 Forskolin 1;WT + FSK;1_WT_FSK;0.0963379597986626;0.34327334708199
1;WT;FSK;1;85022.4;1 Forskolin 1;WT + FSK;1_WT_FSK;0.1908448543808;0.514419984605755
