FileName;AZdist;BoutonID;Genotype;Treatment;Animal;Date;SampleID;Group
20190924_1_002-tko-ctr-PairD;591.941830293687;20190924_1_002;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_002-tko-ctr-PairD;574.952769695946;20190924_1_002;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_002-tko-ctr-PairD;1112.94462274681;20190924_1_002;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_002-tko-ctr-PairD;521.084308975045;20190924_1_002;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_002-tko-ctr-PairD;767.057712491048;20190924_1_002;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_002-tko-ctr-PairD;565.25661239476;20190924_1_002;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_003-tko-ctr-PairD;601.457541577259;20190924_1_003;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_003-tko-ctr-PairD;993.864410746335;20190924_1_003;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_003-tko-ctr-PairD;883.322794504116;20190924_1_003;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_003-tko-ctr-PairD;510.295338050427;20190924_1_003;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_003-tko-ctr-PairD;608.495521354102;20190924_1_003;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_003-tko-ctr-PairD;330.105865576484;20190924_1_003;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_005-tko-ctr-PairD;324.523987071834;20190924_1_005;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_005-tko-ctr-PairD;718.92488061897;20190924_1_005;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_005-tko-ctr-PairD;409.652891672938;20190924_1_005;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_005-tko-ctr-PairD;979.131873914847;20190924_1_005;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_005-tko-ctr-PairD;666.964899754852;20190924_1_005;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_005-tko-ctr-PairD;314.688930502806;20190924_1_005;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_006-tko-ctr-PairD;829.600229855374;20190924_1_006;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_006-tko-ctr-PairD;719.69111515489;20190924_1_006;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_1_006-tko-ctr-PairD;430.636944095604;20190924_1_006;TKO;Control;4;20190924;20190924_1;TKO Control
20190924_4_000-tko-fsk-PairD;829.600229855374;20190924_4_000;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_000-tko-fsk-PairD;719.69111515489;20190924_4_000;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_000-tko-fsk-PairD;430.636944095604;20190924_4_000;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_003-tko-fsk-PairD;152.796628543466;20190924_4_003;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_004-tko-fsk-PairD;370.561152238399;20190924_4_004;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_004-tko-fsk-PairD;311.388055050687;20190924_4_004;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_004-tko-fsk-PairD;291.346851961524;20190924_4_004;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_004-tko-fsk-PairD;303.567773482298;20190924_4_004;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_004-tko-fsk-PairD;621.788501146362;20190924_4_004;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_004-tko-fsk-PairD;599.652740727865;20190924_4_004;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_005-tko-fsk-PairD;586.941886355029;20190924_4_005;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_005-tko-fsk-PairD;195.294491105843;20190924_4_005;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_005-tko-fsk-PairD;455.960892174417;20190924_4_005;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_007-tko-fsk-PairD;348.74119155788;20190924_4_007;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_007-tko-fsk-PairD;293.013248867419;20190924_4_007;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_007-tko-fsk-PairD;393.936041633423;20190924_4_007;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_007-tko-fsk-PairD;827.485590679475;20190924_4_007;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_007-tko-fsk-PairD;177.319643523243;20190924_4_007;TKO;FSK;4;20190924;20190924_4;TKO FSK
